"","text","created_at","author.location"
"78","@thomasdanthine @digi_vlaanderen Pour connaitre assez bien le sujet e-ID, on est dans le peloton de tête avec ""Itsme"", c'est le poussiérieux process ""faire remplir par le citoyen des champs d'info déjà à disposition de l'Etat et ensuite vérifier s'ils ont été bien remplis"" qui est encore trop souvent présent.",2021-06-17 08:27:46,NA
"79","@Mart_Inangel @LIVESTRONG0210 @Jean_Asia_ J'attends ces propositions de phygitilisation dès services publiques et découvrir que c'est en cours https://t.co/Y61XN3QUBR\nEn particulier les e-id \npoke @AdeMontchalin",2021-06-16 13:35:55,NA
"80","@Cdt_Sylvestre j'utilise e-ID et tout fonctionne parfaitement :) je doit être l'élu du gouvernement",2021-06-16 12:44:08,NA
"81","@france_soir Les opposant germanophones ont laissé la récolte des 50’000 signatures pour déposer un référendum contre la modification relative au pass sanitaire, masques etc.\nLe peuple revotera sur à loi COVID19 et se prononcera sur ces points en sachant que le e-ID a été rejeté https://t.co/eCVf4RlWXS",2021-06-13 21:38:41,"Genève"
"82","Vote important et historique\nComparez le nombre de votants par cantons par rapport au 7 mars le E-ID https://t.co/WBYHwyhFwf",2021-06-13 19:12:43,"Switzerland <U+0001F1E8><U+0001F1ED>"
"83","@GuerinDavid8 Je comprends et je vous présente nos excuses\nIl nous reste le Tribunal Federal, c'est inconstitutionnel et il le sait. Qu'il soit honnête et droit\nPeut-être que tout cela est planifié en attendant la nouvelle Direction de La Poste, le code Scytl pour le E-vote et le E-iD",2021-06-13 12:09:58,"Suisse"
"84","@BenRudaz Il faudra probablement un standard pour cela, j'imagine que c'est là que le e-id fera sens, non?",2021-06-07 18:02:48,"Geneva, Switzerland"
"85","dû aux vacances d'été et celles des parlementaires,  Septembre sera juste.\nLevrat sera  à la tête de La Poste en novembre, le système e-vote de retour avec le E-id back ! \nJ affabule ou pas ? https://t.co/JEYdQFb9SR",2021-06-07 13:18:18,"gettr.com/user/uneheidi"
"86","@GaumontRene Regarde ce qu'on demande en Suisse dans un machin à la Carlito.\nSachant que tout ce qui est voté Non revient sur la table 2 mois plus tard comme le E-Id voté le 7 mars et déjà de retour pour 2022.... bref\nOn parle aux jeunes! https://t.co/ZPUcMLp5KG",2021-06-04 17:52:48,"Suisse"
"87","En octobre 2020, #EUCO a demandé qu'une proposition de l'UE « e-ID » soit faite d'ici la mi-2021.Aujourd'hui, cette proposition a vu le jour. Imaginez avoir une identification officielle en ligne sécurisée de l'UE qui vous permet d'accéder aux services dans toute l'#UE.@DigitalEU https://t.co/CidfNsrj9R",2021-06-04 11:06:07,"Ile-de-France, Frankreich"
"88","Togo: Le gouvernement prépare une campagne de communication autour de l’e-ID Togo https://t.co/2oKpSC3jaP",2021-06-01 09:05:27,"Togo"
"89","Déjà? ….<U+0001F914>\nSuisse - Le Conseil fédéral relance déjà le projet de l’e-ID - Le Matin https://t.co/AZbAH8jYG8",2021-05-31 19:30:24,"My words only engage me."
"90","@RESPlR3 Comment se faire récupérer toutes ses données en 1 clin d'oeil, facile et rapide, la e-id card",2021-05-31 13:45:12,"Lausanne"
"91","Oui, mais nos politiciens ont pris la grosse tête, se moquent des votations populaires Le peuple <U+0001F1E8><U+0001F1ED> a voté pour limiter l’immigration et refuser l’e-ID et notre gouvernement de lèche-culs veut introduire le pass sanitaire et autres innovations totalitaires pour suivre l’agenda <U+0001F1EA><U+0001F1FA> https://t.co/X03ecyf3Cn",2021-05-29 16:07:39,"Genève"
"92","E-ID : le Conseil fédéral veut aller de l’avant https://t.co/Fz4QLtwXoU #eGov #eID #CH #suisse",2021-05-28 07:22:59,"Switzerland"
"93","Nous pouvons être curieux…\nLe Conseil fédéral entend présenter rapidement une nouvelle solution pour l’identification électronique (e-ID)…\nhttps://t.co/1tsMLuuI3b\n#fiduciaire40 #numerisation https://t.co/21hGFZdCgp",2021-05-27 11:36:43,"Bern, Schweiz"
"94","Ne crions pas victoire et par pitié le mot „démocratie“ chuchoté svp!\nNous voterons le 13 juin prochain sur loi Covid dont la brochure est incomplète et la propagande sévère\nNous avons voté contre le E-ID le 7 mars 21, figurez-vous, le CF nous le remet déjà sur table pour 2022. https://t.co/qngDRlKSB1",2021-05-27 08:56:25,"Schweiz"
"95","<U+0001F5F3><U+0001F4D5>Suite au refus de la privatisation de l’identité électronique, le Conseil fédéral lance un projet d’e-ID publique. En impliquant notamment les hautes écoles. \n<U+0001F4A1>Mieux valent les EPF qu’un consortium d’assureurs et de banques: c’était pourtant simple!\n https://t.co/NFHxMaHN17",2021-05-27 04:24:21,NA
"96","@NattQui L’idée n’était pas d’abandonné l’E-ID en l’occurrence ! Et personne ne vous forcera à en avoir une au demeurant !",2021-05-26 11:58:32,"Suisse "
"97","Le Conseil fédéral fait un pas en avant en matière d'#eID et a chargé le @EJPD_DFJP_DFGP de présenter un nouveau concept d'ici la fin de l'année. \nC'est une bonne chose : l'E-ID est la clé de la #numérisation de la Suisse. https://t.co/r4eqZGQHe8",2021-05-26 11:42:17,"Lutry, Suisse"
"98","Le Conseil fédéral relance le projet de l’e-ID https://t.co/HthMKreaHc https://t.co/EGtEKxfm7b",2021-05-26 10:22:06,"Suisse"
"99","Le Conseil fédéral relance le projet de l’e-ID https://t.co/2n0IoS3XLz https://t.co/yZsIKtgMVf",2021-05-26 10:11:17,NA
"100","Nouvelle solution pour une e-ID en 2022 https://t.co/xpaJyY23mp",2021-05-26 10:09:06,NA
"101","Tiens, un nouveau projet d'e-ID doit être élaboré d'ici la fin de l'année... https://t.co/0SckQ6LhOK",2021-05-26 09:46:39,"Berne, Suisse"
"102","A quand un débat au Parlement (outre twitter et le site RTBF)? Ne pas ignorer que ce pass pourrait se retrouver sur l'e-id, avec les empreintes digitales... Et que le provisoire est possiblement illusoire... https://t.co/flBrTFBpXG",2021-05-21 23:45:57,"Belgique"
"103","@Bahindwamichel1 @politicocd @bernardmpoyi78 Avec la fibre optique autant d'individus sur le site universitaire peuvent bénéficier de la connexion. La quest dvrai être  de savoir cmt doit-on limiter c7 connexion slmt aux membres universit? sachant k les univ ne disposent( peut-etre) pas des e-ID unik pr chq membre.",2021-05-06 17:27:18,"Kinshasa RDC"
"104","- De recourir à l’identification obligatoire au moyen d’un QR code sur téléphone mobile ou d’une vérification via l’empreinte digitale apposée dans la puce de l’e-ID pour contrôler le droit d’accéder à certains lieux ou transports ou pour contrôler",2021-05-04 18:36:23,"Brabant wallon"
"105","Paragon ID, spécialiste des solutions d’identification dédiées aux marchés de l’e-ID, a publié ses résultats pour l'exercice 2020/2021. Une clic pour découvrir les détails\n<U+0001F449>https://t.co/78YxaEBqTP\n@IDParagon",2021-05-03 10:32:40,NA
"106","@Yayou3131 @PhilippeClose @PSofficiel @pslachambre @PTBlachambre @openvld @cdHChambre @Ecolo @MRChambre @DefiParlBxl @LaChambreBE @rtlinfo @RTBFinfo @ConstCourtBE - De recourir à l’identification obligatoire au moyen d’un QR code sur téléphone mobile ou d’une vérification via l’empreinte digitale apposée dans la puce de l’e-ID pour contrôler le droit d’accéder à certains lieux ou transports ou pour contrôler",2021-05-02 15:51:42,"Brabant wallon"
"107","@GillesMaumary Ce n'est qu'un sondage\nCelui à 7 sem des votations \nE-ID oui à 52%, non 37%, 11% indecis\nRésultat non à +63%",2021-04-30 20:28:43,"Suisse"
"108","En favorisant son utilisation, couplée avec E-id, nous nous assurons de l'inclusion financière de tous (secteur informel inclus) de la traçabilité de ceux qui font les transactions",2021-04-20 01:49:23,"Togo"
"109","2/4 Le support m'a dit qu'on allait voir s'il est possible de désactiver cette fonction pour moi. Donc, il n'y a pas de procédure en place pour tous les clients. Et après ça, la confédération aimerait que l'on fasse confiance au secteur privé pour la mise en oeuvre de l'E-ID",2021-04-12 13:42:18,"Geneva, Switzerland"
"110","""Il faut un huitième conseiller fédéral pour gérer la transition numérique."" La loi sur l'e-ID a été balayée. Jean-Henry Morin, co-directeur de la formation continue en Sécurité de l'information @UNIGEnews, s'exprimait fin février sur ce thème https://t.co/SNVFDbKOKj",2021-04-12 09:35:02,"Genève"
"111","@I_Raph Une gouvernance forte et des budgets sont ne sont pas nécessairement synonymes de bureaucratie, bien au contraire! Le refus de la loi e-ID est effectivement une chance de faire un vrai bon projet. Et je ne fais pas que “dire”, je “fais” aussi (à ma modeste mesure, renseignez-vous",2021-04-12 06:32:21,"Geneva, Switzerland"
"112","@sebastienfanti La faiblesse du cadre légal actuel (et à venir) donne aux entreprises une impression d'impunité. Elles ne risquent pas grand chose à ne pas communiquer, ni quand elles perdent les données de leurs clients. Après on se demande pourquoi le citoyen ne fait pas confiance à l'e-ID",2021-04-08 08:06:32,"Geneva, Switzerland"
"113","- Et on peut faire quoi?\n- Rien\n- Et le CF va réagir?\n- Bah non, savent déjà pas ce que veut dire ""protection des données""\n- Mais nan!\n- Enfin c'est ou des brêles ou ils le font exprès\n- Ouais. Crypto, e-ID et cie?\n- Entre autre\n- Et les citoyens?\n- S'en foutent, comprennent pas! https://t.co/343Bze9kwe",2021-04-06 06:35:43,"Genève, Suisse"
"114","@JeanMichelMIS Heureusement qu'on peut s'inscrire avec de fausses identités (pseudonymes) sur les sites et réseaux sociaux ! Imaginez si une e-ID devenait obligatoire les conséquences d'une telle fuite ! cc @Ch_Hennion #EUdataP #databreach #privacy #ConfianceNumerique #IdentiteNumerique",2021-04-04 13:53:14,"#EUdataP #ePrivacy"
"115","Identification biométrique au Togo: présentation du projet e-ID ce vendredi\n\nhttps://t.co/ncBMsf23mp\n@GouvTg \n#Togo #lomegraph",2021-04-02 09:10:41,NA
"116","@isfpo @EtatdeVaud Et dire qu'avec le e-ID on aurait pu éviter ce...""phishing"" <U+0001F41F> <U+0001F914>",2021-04-01 07:52:07,"Chavornay, Vaud, Switzerland"
"117","Pour les Suisses, le projet d’identité électronique (e-ID) c’est Non à 64 %\n\nhttps://t.co/zsqYksKXiU",2021-03-31 11:31:25,NA
